"sl_no","state","name","V4","start_date","end_date","V7","source","days_in_off","delay_apt","Start_Date","Appointment_Year","Assembly_No","Constituency_No","Constituency_Name","Poll_No","pid","tcpd_cm_name","method"
29,"Arunachal Pradesh","P.K. Thungon",NA,"16-08-1975","06-09-1979",NA,"http://www.arunachalipr.gov.in/?page_id=329",1482,NA,1975-08-16,"1975",0,NA,NA,NA,NA,NA,NA
30,"Arunachal Pradesh","Late Tomo Riba",NA,"18-09-1979","03-11-1979",NA,"http://www.arunachalipr.gov.in/?page_id=329",46,12,1979-09-18,"1979",1,17,"BASAR",0,"AEAR82212","TOMO RIBA","lcs"
31,"Arunachal Pradesh","Gegong Apang",NA,"18-01-1980","18-01-1999",NA,"http://www.arunachalipr.gov.in/?page_id=329",6940,76,1980-01-18,"1980",2,19,"YINGKIONG PANGIN",0,"AEAR82126","GEGONG APANG","lcs"
32,"Arunachal Pradesh","Mukut Mithi",NA,"19-01-1999","02-08-2003",NA,"http://www.arunachalipr.gov.in/?page_id=329",1656,1,1999-01-19,"1999",6,43,"ROING",0,"AEAR81558","MUKUT MITHI","lcs"
33,"Arunachal Pradesh","Gegong Apang",NA,"03-08-2003","09-04-2007",NA,"http://www.arunachalipr.gov.in/?page_id=329",1345,1,2003-08-03,"2003",6,34,"TUTING-YINKGKIONG",0,"AEAR81536","GEGONG APANG","lcs"
34,"Arunachal Pradesh","Dorjee Khandu",NA,"10-04-2007","31-10-2011",NA,"http://www.arunachalipr.gov.in/?page_id=329",1665,1,2007-04-10,"2007",7,NA,NA,NA,NA,NA,NA
