"sl_no","state","name","V4","start_date","end_date","V7","source","days_in_off","delay_apt","Start_Date","Appointment_Year","Assembly_No","Constituency_No","Constituency_Name","Poll_No","pid","tcpd_cm_name","method"
218,"Madhya Pradesh","Shri Shyamacharan Shukla",NA,"09-12-1989","04-03-1990",NA,"https://www.mpinfo.org/MPinfoStatic/English/whoiswho/cmlist.asp",85,1,1989-12-09,"1989",8,NA,NA,NA,NA,NA,NA
219,"Madhya Pradesh","Shri Sunderlal Patwa",NA,"05-03-1990","15-12-1992",NA,"https://www.mpinfo.org/MPinfoStatic/English/whoiswho/cmlist.asp",1016,1,1990-03-05,"1990",9,245,"BHOJPUR",0,"AEMP4285","SUNDAR LAL PATWA","lcs"
220,"Madhya Pradesh","President’s Rule",NA,"16-12-1992","06-12-1993",NA,"https://www.mpinfo.org/MPinfoStatic/English/whoiswho/cmlist.asp",355,1,1992-12-16,"1992",9,NA,NA,NA,NA,NA,NA
221,"Madhya Pradesh","Shri Digvijay Singh",NA,"07-12-1993","01-12-1998",NA,"https://www.mpinfo.org/MPinfoStatic/English/whoiswho/cmlist.asp",1820,1,1993-12-07,"1993",10,30,"Chachora",1,"AEMP100526","Digvijay Singh","lcs"
222,"Madhya Pradesh","Shri Digvijay Singh",NA,"01-12-1998","08-12-2003",NA,"https://www.mpinfo.org/MPinfoStatic/English/whoiswho/cmlist.asp",1833,0,1998-12-01,"1998",11,31,"RAGHOGARH",0,"AEMP84686","DIGVIJAY SINGH","lcs"
223,"Madhya Pradesh","Sushri Uma Bharti",NA,"08-12-2003","23-08-2004",NA,"https://www.mpinfo.org/MPinfoStatic/English/whoiswho/cmlist.asp",259,0,2003-12-08,"2003",12,47,"MALEHRA",0,"AEMP21726","UMA BHARTI","lcs"
224,"Madhya Pradesh","Shri Babulal Gaur",NA,"23-08-2004","29-11-2005",NA,"https://www.mpinfo.org/MPinfoStatic/English/whoiswho/cmlist.asp",463,0,2004-08-23,"2004",12,148,"GOVINDPURA",0,"AEMP7817","BABULAL GOUR","lcs"
225,"Madhya Pradesh","Shri Shivraj Singh Chouhan",NA,"29-11-2005","12-12-2008",NA,"https://www.mpinfo.org/MPinfoStatic/English/whoiswho/cmlist.asp",1109,0,2005-11-29,"2005",12,144,"Budhni",1,"AEMP100740","Shivraj Singh","lcs"
226,"Madhya Pradesh","Shri Shivraj Singh Chouhan",NA,"12-12-2008","13-12-2014",NA,"https://www.mpinfo.org/MPinfoStatic/English/whoiswho/cmlist.asp",2192,0,2008-12-12,"2008",13,156,"BUDHNI",0,"AEMP13961","SHIV RAJ SHINGH","lcs"
227,"Madhya Pradesh","Shri Shivraj Singh Chouhan",NA,"14-12-2013","16-12-2018",NA,"https://www.mpinfo.org/MPinfoStatic/English/whoiswho/cmlist.asp",1828,-364,2013-12-14,"2013",14,NA,NA,NA,NA,NA,NA
228,"Madhya Pradesh","Shri Kamal Nath",NA,"17-12-2018","22-03-2020",NA,"https://www.mpinfo.org/MPinfoStatic/English/whoiswho/cmlist.asp",461,1,2018-12-17,"2018",15,NA,NA,NA,NA,NA,NA
229,"Madhya Pradesh","Shri Shivraj Singh Chouhan",NA,"23-03-2020",NA,NA,"https://www.mpinfo.org/MPinfoStatic/English/whoiswho/cmlist.asp",-43913,1,2020-03-23,"2020",15,156,"BUDHNI",0,"AEMP28651","SHIVRAJ SINGH CHOUHAN","lcs"
