State_Name,Assembly_No,Sequence_No,Name,start_date,end_date,days_in_off,delay_apt,Administrative_rule,MLC,Caretaker_CM,Constituency_No,Poll_No,Position,pid,Party,No_Terms,Turncoat,Incumbent,Recontest
Arunachal_Pradesh,6,2,Gegong Apang,3/8/03,23/10/04,447,1,no,no,0,34,0,1,AEAR82217,AC,6,FALSE,TRUE,TRUE
Arunachal_Pradesh,7,1,Gegong Apang,24/10/04,9/4/07,897,1,no,no,0,34,0,1,AEAR82217,INC,7,TRUE,TRUE,TRUE
Arunachal_Pradesh,7,2,Dorjee Khandu,10/4/07,22/10/09,926,1,no,no,0,,,,,,,,,
Arunachal_Pradesh,8,1,Dorjee Khandu,23/10/09,31/10/11,738,1,no,no,0,3,0,1,AEAR81614,INC,4,FALSE,FALSE,FALSE
Assam,3,1,B.P. Chaliha,3/3/62,1/3/67,1824,,no,no,0,90,0,1,AEAS197674,INC,1,FALSE,FALSE,FALSE
Assam,4,1,B.P. Chaliha,1/3/67,6/11/70,1346,0,no,no,0,110,0,1,AEAS197241,INC,1,FALSE,FALSE,FALSE
Assam,4,2,Mohendra Mohan Choudhury,11/11/70,30/1/72,445,5,no,no,0,58,0,1,AEAS196859,INC,1,FALSE,FALSE,FALSE
Assam,5,1,Shri Sarat Chandra Sinha,31/1/72,12/3/78,2232,1,no,no,0,39,0,1,AEAS196428,INC,1,FALSE,FALSE,FALSE
Assam,6,1,Shri Golap Borbora,12/3/78,4/9/79,541,0,no,no,0,122,0,1,AEAS196808,JNP,1,TRUE,FALSE,TRUE
Assam,6,2,Shri Jogendra Nath Hazarika,9/9/79,11/12/79,93,5,no,no,0,118,0,1,AEAS194829,JNP,1,FALSE,FALSE,FALSE
Assam,NA,1,President's Rule,12/12/79,5/12/80,359,1,yes,no,0,,,,,,,,,
Assam,6,3,Shrimati Anowara Taimur,6/12/80,30/6/81,206,1,no,no,0,68,0,1,AEAS195878,INC(I),1,FALSE,FALSE,FALSE
Assam,NA,2,President's Rule,30/6/81,13/1/82,197,0,yes,no,0,,,,,,,,,
Assam,6,4,Shri Kesab Chandra Gogoi,13/1/82,19/3/82,65,0,no,no,0,116,0,1,AEAS195369,JNP,1,FALSE,FALSE,FALSE
Assam,NA,3,President's Rule,19/3/82,27/2/83,345,0,yes,no,0,,,,,,,,,
Assam,7,1,Shri Hiteswar Saikia,27/2/83,23/12/85,1030,0,no,no,0,104,0,1,AEAS195303,INC,3,FALSE,TRUE,TRUE
Assam,8,1,Shri Prafulla Kumar Mahanta,24/12/85,27/11/90,1799,1,no,no,0,86,0,1,AEAS193203,IND,1,FALSE,FALSE,FALSE
Assam,NA,4,President's Rule,28/11/90,30/6/91,214,1,yes,no,0,,,,,,,,,
Assam,9,1,Shri Hiteswar Saikia,30/6/91,22/4/96,1758,0,no,no,0,104,0,1,AEAS195303,INC,5,FALSE,FALSE,TRUE
Assam,10,1,Dr. Bhumidhar Barman,22/4/96,14/5/96,22,0,no,no,0,60,0,2,,,,,,
Assam,10,2,Shri Prafulla Kumar Mahanta,15/5/96,17/5/01,1828,1,no,no,0,87,0,1,AEAS187558,AGP,2,FALSE,TRUE,TRUE
Assam,11,1,Shri Tarun Gogoi,17/5/01,11/5/06,1820,0,no,no,0,100,1,1,AEAS188688,INC,1,FALSE,FALSE,FALSE
Assam,12,1,Shri Tarun Gogoi,12/5/06,16/5/11,1830,1,no,no,0,100,0,1,AEAS188688,INC,2,FALSE,TRUE,TRUE
Assam,13,1,Shri Tarun Gogoi,17/5/11,21/5/16,1831,1,no,no,0,100,0,1,AEAS188688,INC,3,FALSE,TRUE,TRUE
Assam,14,1,Shri Sarbananda Sonowal,24/5/16,,,3,no,no,0,99,0,1,GEAS74852,BJP,1,FALSE,FALSE,FALSE
Goa,1,1,Shri Pratapsingh R. Rane,9/1/90,27/3/90,77,,no,no,0,18,0,1,,INC,,,,
Goa,1,2,Shri Churchill Alemao,27/3/90,14/4/90,18,0,no,no,0,28,0,1,,INC,,,,
Goa,1,3,Dr. Luis Proto Barbosa,14/4/90,14/12/90,244,0,no,no,0,27,0,1,,INC,,,,
Goa,NA,1,President's Rule,14/12/90,25/1/91,42,0,yes,no,0,,,,,,,,,
Goa,1,4,Shri Ravi S. Naik,25/1/91,18/5/93,844,0,no,no,0,22,0,1,,MAG,,,,
Goa,1,5,Dr. Wilfred de Souza,18/5/93,2/4/94,319,0,no,no,0,8,0,1,,INC,,,,
Goa,1,6,Shri Ravi S. Naik,2/4/94,8/4/94,6,0,no,no,0,22,0,2,,,,,,
Goa,1,7,Dr. Wilfred de Souza,8/4/94,16/12/94,252,0,no,no,0,8,0,1,,INC,,,,
Goa,2,1,Shri Pratapsingh R. Rane,16/12/94,29/7/98,1321,0,no,no,0,18,0,1,,INC,,,,
Goa,2,2,Dr. Wilfred de Souza,29/7/98,23/11/98,117,0,no,no,0,8,0,1,,INC,,,,
Goa,2,3,Shri Luizinho Faleiro,26/11/98,8/2/99,74,3,no,no,0,32,0,1,,INC,,,,
Goa,2,4,Presidents Rule,10/2/99,9/6/99,119,2,yes,no,0,,,,,,,,,
Goa,3,1,Shri Luizinho Faleiro,9/6/99,24/11/99,168,0,no,no,0,32,0,1,,INC,,,,
Goa,3,2,Shri Francisco Sardinha,24/11/99,23/10/00,334,0,no,no,0,31,0,1,,INC,,,,
Goa,3,3,Shri Manohar Parrikar,24/10/00,31/5/02,584,1,no,no,0,10,0,1,,BJP,,,,
Goa,4,1,Shri Manohar Parrikar,1/6/02,2/2/05,977,1,no,no,0,10,0,1,,BJP,,,,
Goa,4,2,Shri Pratapsingh R. Rane,3/2/05,4/3/05,29,1,no,no,0,18,0,1,,INC,,,,
Goa,NA,2,Presidents Rule,4/3/05,6/6/05,94,0,yes,no,0,,,,,,,,,
Goa,4,3,Shri Pratapsingh R. Rane,7/6/05,7/6/07,730,1,no,no,0,18,0,1,,INC,,,,
Goa,5,1,Shri Digambar Kamat,8/6/07,8/3/12,1735,1,no,no,0,30,0,1,,INC,,,,
Goa,6,1,Shri Manohar Parrikar,9/3/12,8/11/14,974,1,no,no,0,11,0,1,,BJP,,,,
Goa,6,2,Shri Laxmikant Parsekar,8/11/14,11/3/17,854,0,no,no,0,1,0,1,,BJP,,,,
Goa,7,1,Shri Manohar Parrikar,14/3/17,17/9/19,917,3,no,no,0,,,,,,,,,
Gujarat,1,1,Dr. Jivraj Narayan Mehta,3/3/62,19/9/63,565,,no,no,0,37,0,1,AEGJ122,INC,1,FALSE,FALSE,FALSE
Gujarat,1,2,Shri Balwantray Mehta,19/9/63,19/9/65,731,0,no,no,0,,,,,,,,,
Gujarat,1,3,Shri Hitendra K. Desai,19/9/65,28/2/67,527,0,no,no,0,141,0,1,AEGJ1092,INC,1,FALSE,FALSE,FALSE
Gujarat,2,1,Shri Hitendra K. Desai,1/3/67,13/5/71,1534,1,no,no,0,155,0,1,AEGJ1092,INC,2,FALSE,TRUE,TRUE
Gujarat,NA,1,President's Rule,13/5/71,17/3/72,309,0,yes,,0,,,,,,,,,
Gujarat,3,1,Shri Ghanshyambhai C. Oza,17/3/72,17/7/73,487,0,no,no,0,113,0,1,AEGJ1698,INC,1,FALSE,FALSE,FALSE
Gujarat,3,2,Shri Chimanbhai J. Patel,17/7/73,9/2/74,207,0,no,no,0,131,0,1,AEGJ2948,INC,1,FALSE,FALSE,FALSE
Gujarat,NA,2,President's Rule,9/2/74,18/6/75,494,0,,,0,,,,,,,,,
Gujarat,4,1,Shri Babubhai J. Patel,18/6/75,12/3/76,268,0,no,no,0,67,0,1,AEGJ962,NCO,2,FALSE,FALSE,TRUE
Gujarat,NA,3,President's Rule,12/3/76,24/12/76,287,0,yes,,0,,,,,,,,,
Gujarat,4,2,Shri Madhavsinh F. Solanki,24/12/76,11/4/77,108,0,no,no,0,139,0,1,AEGJ974,INC,4,FALSE,TRUE,TRUE
Gujarat,4,3,Shri Babubhai J. Patel,11/4/77,17/2/80,1042,0,,,0,67,0,1,AEGJ962,NCO,2,FALSE,FALSE,TRUE
Gujarat,NA,4,President's Rule,17/2/80,6/6/80,110,0,,,0,,,,,,,,,
Gujarat,5,1,Shri Madhavsinh F. Solanki,7/6/80,8/3/85,1735,1,,,0,139,0,1,AEGJ974,INC(I),5,TRUE,TRUE,TRUE
Gujarat,6,1,Shri Madhavsinh F. Solanki,9/3/85,6/7/85,119,1,,,0,139,0,1,AEGJ974,INC,6,TRUE,TRUE,TRUE
Gujarat,6,2,Shri Amarsinh Chaudhary,6/7/85,9/12/89,1617,0,no,no,0,164,0,1,AEGJ8397,INC,4,TRUE,TRUE,TRUE
Gujarat,6,3,Shri Madhavsinh F. Solanki,10/12/89,3/3/90,83,1,,,0,139,0,1,AEGJ974,INC,6,TRUE,TRUE,TRUE
Gujarat,7,1,Shri Chimanbhai Patel,3/3/90,17/2/94,1447,0,,,0,88,0,1,AEGJ2948,JD,4,TRUE,TRUE,TRUE
Gujarat,7,2,Shri Chhabildas Mehta,17/2/94,13/3/95,389,0,no,no,0,54,0,1,AEGJ696,JD,4,TRUE,FALSE,TRUE
Gujarat,8,1,Shri Keshubhai Savdasbhai Patel,14/3/95,20/10/95,220,1,no,no,0,40,0,1,AEGJ2902,BJP,4,FALSE,TRUE,TRUE
Gujarat,8,2,Shri Sureshchandra Rupshanker Mehta,21/10/95,19/9/96,334,1,no,no,0,2,0,1,AEGJ1144,BJP,4,FALSE,TRUE,TRUE
Gujarat,NA,5,President's Rule,19/9/96,23/10/96,34,0,,,0,,,,,,,,,
Gujarat,8,3,Shri Shankersinhji Laxmansinhji Vaghela,23/10/96,27/10/97,369,0,no,no,0,94,1,1,,RJP(G),7,FALSE,FALSE,TRUE
Gujarat,8,4,Shri Dilipbhai Ramanbhai Parikh,28/10/97,4/3/98,127,1,no,no,0,59,0,1,AEGJ5575,BJP,2,FALSE,TRUE,TRUE
Gujarat,9,1,Shri Keshubhai Savdasbhai Patel,4/3/98,6/10/01,1312,0,no,,0,40,0,1,AEGJ2902,BJP,5,FALSE,TRUE,TRUE
Gujarat,9,2,Shri Narendra Modi,7/10/01,26/12/02,445,1,no,no,0,18,1,1,,,,,,
Gujarat,10,1,Shri Narendra Modi,27/12/02,17/1/08,1847,1,no,no,0,77,0,1,AEGJ10969,BJP,1,FALSE,FALSE,FALSE
Gujarat,11,1,Shri Narendra Modi,18/1/08,22/1/13,1831,1,no,no,0,77,0,1,AEGJ10969,BJP,2,FALSE,TRUE,TRUE
Gujarat,12,1,Shri Narendra Modi,23/1/13,22/5/14,484,1,no,no,0,53,0,1,AEGJ10969,BJP,3,FALSE,TRUE,TRUE
Gujarat,12,2,Smt. Anandiben Patel,22/5/14,7/8/16,808,0,no,no,0,41,0,1,AEGJ11043,BJP,4,FALSE,TRUE,TRUE
